Condition Name,Condition Link,Condition Info,Symptoms,Common Symptoms,Other Symptoms,Medical History,Physical Exam,Diagnostic Test,Other Test
Thalassemia,https://www.nhlbi.nih.gov/health/thalassemia,Thalassemia is an inherited blood disorder that causes the body to make fewer healthy red blood cells and less of a protein called hemoglobin than usual.,"The symptoms of thalassemia are caused by
anemia
. Anemia is a condition that develops when your blood produces a lower-than-normal amount of healthy red blood cells. Anemia often develops in people with thalassemia because the body cannot make enough hemoglobin. Without enough hemoglobin, red blood cells in your blood stream cannot work properly to effectively deliver oxygen to cells throughout your body.
Learn more about
what causes thalassemia
.
Symptoms of anemia include:
Feeling tired or weak
Shortness of breath
Paleness
Dizziness and fainting
Headaches
Depending on the type of thalassemia you have, you may experience mild anemia or no symptoms at all.","Children who have more serious types of thalassemia often have symptoms by the time they are 2 years old. These can include:
Pale skin or yellowing of the skin and eyes (
jaundice
)
A large abdomen from a spleen or liver that is larger than normal
Changes or problems with bones in the face
Dark urine
Poor appetite
Intellectual or developmental disabilities
More serious forms of thalassemia are often diagnosed during the newborn screening. Learn more about how thalassemia is
diagnosed
.",N/A,"The ways that a healthcare provider diagnoses thalassemia depends on the type of thalassemia you have. If you have minor or no symptoms, your provider may suspect thalassemia based on the results of a routine blood test. Other types of thalassemia cause more severe symptoms that can be found earlier in life, usually before a child is 2 years old.
To determine whether you or your child have thalassemia, your provider may ask about your
risk factors
, including your family’s and your medical history. Since thalassemia is inherited through genes, your provider may also ask whether someone in your family has thalassemia.
Your provider might also order blood or genetic tests.","Your provider may order the following tests to determine whether you or your child have thalassemia:
Complete blood count (CBC)
measures the amount of hemoglobin and different types of blood cells (such as red blood cells) in your blood. People who have thalassemia have fewer healthy red blood cells and less hemoglobin than normal. Depending on the type of thalassemia, your red blood cells may look smaller and show signs of disease under a microscope.
Special hemoglobin tests
measure the types of hemoglobin in a sample of blood. This test can help to distinguish between different medical conditions caused by problems with hemoglobin.
Genetic testing
can help determine what specific type of thalassemia you have.",N/A,N/A
Thrombocythemia and Thrombocytosis,https://www.nhlbi.nih.gov/health/thrombocythemia-thrombocytosis,Thrombocythemia and thrombocytosis are platelet disorders that occur when the number of platelets in your blood is too high. This can cause blood clots to form in your blood vessels.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thrombocytopenia,https://www.nhlbi.nih.gov/health/thrombocytopenia,"Thrombocytopenia is a platelet disorder that occurs when the number of platelets in your blood is too low. This can prevent your blood from clotting after an injury or surgery, making it hard to stop bleeding.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thrombotic Thrombocytopenic Purpura (TTP),https://www.nhlbi.nih.gov/health/thrombotic-thrombocytopenic-purpura,Thrombotic thrombocytopenic purpura is a rare platelet disorder in which blood clots form in small blood vessels throughout the body. The clots can limit or block blood flow to organs.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Total Artificial Heart,https://www.nhlbi.nih.gov/health/total-artificial-heart,A total artificial heart (TAH) is a mechanical pump that is used to replace heart ventricles that are diseased or damaged. The ventricles pump blood out of the heart to the lungs and other parts of the body.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Transcatheter Aortic Valve Replacement (TAVR),https://www.nhlbi.nih.gov/health/tavr,Transcatheter aortic valve replacement (TAVR) is a procedure to replace a faulty aortic valve with an artificial aortic valve.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Treatments for Blood Disorders,https://www.nhlbi.nih.gov/health/blood-bone-marrow-treatments,Blood transfusions and bone marrow transplants are two ways doctors can treat blood problems. Learn more about these procedures.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Varicose Veins,https://www.nhlbi.nih.gov/health/varicose-veins,"Varicose veins are swollen, twisted veins that lie just under the skin and usually occur in the legs.",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vascular Dementia,https://www.nhlbi.nih.gov/health/vascular-dementia,Vascular dementia is a common type of dementia caused by conditions that damage the blood vessels in the brain or interfere with proper blood flow and oxygen delivery to the brain.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vasculitis,https://www.nhlbi.nih.gov/health/vasculitis,Vasculitis is a group of rare conditions that can occur when you have swelling in the walls of your blood vessels. This can lead to serious health problems.,"The symptoms of vasculitis are different depending on the type of vasculitis you have, the blood vessels and organs involved, and whether your condition is serious. Some people may have few symptoms. Other people may become very sick.
Sometimes, the symptoms develop slowly over months. The symptoms may also develop very quickly over days or weeks. Not everyone will experience the common symptoms below. Some people will experience some, but not all of them. General symptoms of vasculitis include:
Tiredness
Fever
General aches and pains
Loss of appetite
Weight loss
Others may experience common, more specific problems that are caused by vasculitis.","Ear and nose problems,
including sinus infections, inner ear infections, open sores in the nose, a runny nose, dizziness, ringing in the ears, hearing loss, and deafness, may occur.
Eye problems,
including redness, itching, burning, and changes in vision, may also occur. Blindness in one eye may be the first sign of giant cell
arteritis
. The risk of blindness with giant cell arteritis is higher for people who have had a
stroke
or have
peripheral artery disease
.
gastrointestinal tract
problems,
such as open sores in the mouth or stomach area, diarrhea, vomiting blood, and pain in the stomach area, are also sometimes caused by vasculitis.
Genital ulcers,
which are open sores in the genital area, may also occur.
Headache, scalp tenderness, and pain
may develop after chewing.
Heart palpitations,
or the feeling that your heart is racing, can occur with vasculitis.
Joint pain
is another common condition caused by vasculitis.
Lung problems,
including shortness of breath, bleeding within the lung, and coughing up blood, may also occur when you have vasculitis.
Nerve problems,
including numbness, tingling, pain, and weakness in various parts of body, can occur. Loss of strength in the hands and feet and shooting pains in the arms and legs can also occur with vasculitis.
Skin rashes,
purple or red spots or bumps, clusters of small dots, splotches, bruises, hives, and itching also sometimes develop.
Problems with the hands and feet,
including swelling or hardening of the palms and soles, or pain, ulcers, and gangrene, can show up in some people.
Swollen, dry lips or tongue,
or swelling in the mouth and throat may occur.
Problems during pregnancy
can develop if a person has vasculitis.
Blood vessels damaged by vasculitis can narrow and block normal blood flow, which may cause problems in other parts of the body. Some problems can be life-threatening. They include:
Aneurysm
or a tear inside the aorta called an aortic
dissection
Arrhythmia
Coronary heart disease
Deep vein thrombosis,
a type of
venous thromboembolism
Heart attack
High blood pressure
Low blood pressure
Kidney disease
Myocarditis,
a type of
heart inflammation
Stroke
and transient ischemic attack (TIA).
A TIA, also known as a mini-stroke, occurs if blood flow to a part of the brain is blocked only for a short time. A TIA may happen and may develop into a stroke later.",N/A,"Your healthcare provider may be able to diagnose the type of vasculitis that you have and how serious it is. Depending on your
symptoms
, your provider may recommend that you see a specialist for more tests or procedures.","Cardiologists
specialize in the heart.
Dermatologists
specialize in skin.
Infectious disease specialists
are experts in diagnosis and treatment of infections.
Nephrologists
specialize in the kidneys.
Neurologists
specialize in the brain and nervous system.
Ophthalmologists
specialize in eyes.
Pulmonologists
specialize in the lungs.
Rheumatologists
specialize in joints, muscles, and
autoimmune
diseases.
Urologists
specialize in the urinary tract and urogenital systems.","Diagnosis of vasculitis can be difficult. Some types of vasculitis cannot be diagnosed with a test. Instead, your healthcare provider will diagnose you based on your symptoms or order specific procedures.
A
biopsy
collects a small sample of your tissue from a specific blood vessel or an organ. A pathologist, someone with special training in laboratory results, will study the sample for specific signs of tissue damage.
Blood tests
detect levels of certain blood cells and
antibody
in your blood.
A
chest X-ray
finds out whether vasculitis is affecting your lungs, your large arteries, such as the aorta, or your lung arteries.
A
computed tomography (CT) scan
looks for signs of
granulomatosis with polyangiitis
.
Echocardiography
is an ultrasound test to learn how well the heart is working.
A
pathergy test
diagnoses Behçet’s disease. In this test, a needle pricks the skin, and sometimes a small amount of saline solution may be injected. The test is positive if a red bump or ulcer develops after 2 days.
CT
coronary angiography
looks at your blood vessels for damage, signs of inflammation, blockages, or aneurysms.
Positron electron tomography (PET) scan,
a type of
nuclear scan
, detects narrowing and damage in the blood vessels.
Ultrasound
looks for signs of narrowing and damage in your blood vessels or organs.
Urinalysis
checks for kidney damage.
Fluorescein retinal angiography
looks for signs of retinal vasculitis in the eyes.",N/A
